"fdeliver_status","price","fpaymentmode","logisticr","cust_rating","shipment_hr","fnotify","fweather","fcust_avail","dist_warehouse","profit_pr","order_date","shipment_date","expected_delivery","remaining","ftracking","consignment_wt","empolyee_number"
"no",9522,"cash",25,18,96,"yes","good","no",140,6.42628036737589,2018-06-26,2018-06-29,2018-07-04,9,"RFID",3.69455313541387,407
"yes",2659,"cash",84,27,97,"yes","good","yes",95,8.9461128312725,2018-03-31,2018-04-01,2018-04-09,36,"GPRS",2.81318361404044,392
"yes",6158,"online",55,30,98,"no","bad","yes",87,10.1645384998308,2018-09-30,2018-10-04,2018-10-06,24,"GPRS",2.27065190333228,400
"yes",12690,"online",28,100,99,"yes","good","no",176,9.84262298802264,2018-06-28,2018-07-01,2018-07-08,25,"GPRS",3.14946787392682,378
"yes",7291,"cash",57,40,100,"no","good","yes",117,10.1305286528575,2018-05-04,2018-05-07,2018-05-11,7,"GPRS",3.17638931029154,375
"yes",7409,"cash",23,2,101,"yes","good","yes",76,8.4831559629602,2018-04-26,2018-04-28,2018-05-06,45,"GPRS",3.86481674175861,388
"yes",9553,"debit",62,31,102,"yes","good","yes",118,13.3137127424381,2018-04-27,2018-05-02,2018-05-06,44,"RFID",2.23432124842782,408
"yes",3447,"online",46,67,103,"yes","good","no",148,9.32543598436692,2018-02-22,2018-02-26,2018-03-02,56,"GPRS",2.45672336006408,384
"yes",9377,"cash",31,66,104,"yes","good","no",180,8.54281799635013,2018-02-22,2018-02-27,2018-02-28,9,"GPRS",3.99395109521249,378
"yes",8989,"cash",24,66,105,"yes","bad","yes",110,5.98663841303483,2018-10-22,2018-10-23,2018-10-28,78,"GPRS",3.4171748804239,397
"yes",8449,"cash",66,82,106,"yes","good","yes",140,9.05784999113413,2018-07-01,2018-07-05,2018-07-08,54,"GPRS",3.05220080627293,384
"yes",1237,"cash",90,22,107,"yes","good","no",191,8.61450268798013,2018-10-11,2018-10-14,2018-10-21,83,"GPRS",3.46619170315762,404
"yes",12351,"credit",77,35,108,"no","bad","yes",22,6.44864923657789,2018-11-20,2018-11-22,2018-11-27,47,"GPRS",3.95975870880536,410
"yes",9927,"debit",72,77,109,"yes","bad","no",181,9.14008964429722,2018-12-10,2018-12-11,2018-12-17,37,"RFID",3.90299817681316,392
"yes",13040,"cash",22,66,110,"yes","good","yes",33,11.1101871896635,2018-07-14,2018-07-16,2018-07-20,75,"GPRS",3.67641905891613,409
"yes",10125,"debit",37,84,111,"yes","good","no",120,12.8189897073125,2018-08-09,2018-08-11,2018-08-18,49,"GPRS",2.95419127973408,384
"yes",8675,"online",77,91,112,"no","good","no",167,7.95294283297827,2018-06-28,2018-06-30,2018-07-06,80,"GPRS",2.88287426798266,405
"yes",11159,"debit",14,4,113,"no","good","no",81,9.13640413233593,2018-04-22,2018-04-25,2018-05-02,30,"GPRS",3.09037400006145,386
"yes",13897,"debit",73,65,114,"yes","good","yes",196,9.55957128314736,2018-08-26,2018-08-29,2018-09-04,4,"RFID",1.97790335378437,405
"yes",6523,"cash",68,41,115,"yes","good","yes",191,10.6155689030207,2018-08-25,2018-08-28,2018-09-03,81,"GPRS",2.53200541690412,394
"yes",2118,"credit",69,62,116,"no","good","no",17,10.3663645602968,2018-02-24,2018-02-25,2018-03-02,81,"GPRS",3.95893718798857,381
"yes",14442,"debit",18,21,117,"yes","good","yes",117,14.0148121542502,2018-02-09,2018-02-13,2018-02-18,59,"GPRS",2.87896904835828,405
"yes",3220,"debit",35,25,118,"yes","good","yes",66,5.00850184571564,2018-11-16,2018-11-17,2018-11-23,46,"GPRS",2.9847469701693,383
"yes",10096,"online",58,14,119,"yes","good","yes",123,10.0038532731198,2018-10-03,2018-10-08,2018-10-13,48,"GPRS",4.15114831512855,388
"yes",7887,"debit",92,81,120,"yes","good","yes",45,10.50410781529,2018-06-02,2018-06-07,2018-06-09,7,"GPRS",3.34081946550396,407
"yes",10178,"cash",85,66,121,"yes","good","no",170,5.91838769153815,2018-08-01,2018-08-06,2018-08-08,89,"RFID",2.4432788635841,372
"no",263,"debit",36,93,122,"no","good","yes",136,12.6522987352933,2018-10-01,2018-10-03,2018-10-09,26,"GPRS",2.76125369011672,395
"yes",5359,"credit",42,13,123,"yes","good","yes",126,11.2027286114099,2018-07-21,2018-07-24,2018-07-28,53,"RFID",2.18706145641305,384
"yes",6335,"cash",12,91,124,"yes","good","no",175,11.503028441992,2018-10-05,2018-10-07,2018-10-15,12,"RFID",2.94211094169796,395
"yes",4318,"cash",40,82,125,"yes","good","yes",35,7.60471376288499,2018-10-27,2018-10-30,2018-11-06,60,"GPRS",1.14061325798517,409
"yes",6705,"online",90,27,126,"no","good","no",53,12.7567166049936,2018-12-05,2018-12-10,2018-12-13,85,"GPRS",3.32797578376545,408
"yes",9041,"credit",50,31,127,"no","good","yes",168,8.93935407567222,2018-08-22,2018-08-25,2018-09-01,63,"GPRS",3.30087127718423,375
"yes",3612,"cash",99,36,128,"yes","good","yes",128,11.8295067553702,2018-11-01,2018-11-06,2018-11-10,12,"GPRS",2.32835623032344,382
"yes",150,"credit",79,62,129,"yes","good","no",37,9.36596435850634,2018-08-31,2018-09-01,2018-09-09,16,"GPRS",2.05485432409141,399
"yes",7685,"debit",23,61,130,"yes","good","yes",162,11.650465375634,2018-09-04,2018-09-05,2018-09-11,33,"GPRS",3.72668812771298,384
"yes",13608,"cash",18,8,131,"no","good","yes",20,11.1590083308308,2018-11-05,2018-11-08,2018-11-13,96,"GPRS",2.48339545347625,386
"yes",3129,"cash",65,90,132,"no","good","yes",134,8.52035511221074,2018-07-31,2018-08-01,2018-08-06,49,"GPRS",3.54409268377542,404
"yes",14433,"cash",50,75,133,"yes","bad","no",146,6.21440249433643,2018-01-08,2018-01-11,2018-01-14,50,"RFID",2.74979538680821,401
"yes",841,"credit",46,97,134,"yes","good","no",134,9.53331404397493,2018-07-21,2018-07-26,2018-07-27,4,"RFID",2.85266092028352,403
"yes",13951,"cash",23,15,135,"yes","good","no",44,13.4408497278595,2018-12-12,2018-12-14,2018-12-22,52,"GPRS",2.73543629062998,382
"yes",4339,"online",34,77,136,"no","good","yes",23,12.6695865844498,2018-03-21,2018-03-24,2018-03-31,73,"GPRS",3.49345557249881,393
"yes",2470,"cash",67,92,137,"yes","good","yes",163,6.78423175710173,2018-04-13,2018-04-18,2018-04-20,68,"GPRS",2.38530232288507,410
"yes",9452,"cash",55,36,138,"yes","good","yes",132,12.2435190531474,2018-04-25,2018-04-30,2018-05-03,20,"GPRS",3.60164244486055,393
"yes",12881,"cash",21,20,139,"yes","good","yes",170,11.503492876766,2018-11-19,2018-11-21,2018-11-28,61,"GPRS",2.79421221624168,393
"yes",13260,"cash",49,54,140,"no","good","yes",187,11.8650870435974,2018-07-17,2018-07-18,2018-07-27,71,"GPRS",3.0878617845915,387
"yes",5897,"cash",87,29,141,"yes","good","yes",95,12.367293706215,2018-10-05,2018-10-07,2018-10-11,9,"GPRS",2.4485824968154,377
"yes",11767,"debit",59,4,142,"yes","good","no",73,10.2044579595621,2018-07-04,2018-07-06,2018-07-12,97,"GPRS",4.38315117447206,370
"yes",9039,"credit",42,35,143,"yes","good","yes",190,5.4668596204899,2018-01-29,2018-02-02,2018-02-06,66,"RFID",2.78998556909311,373
"yes",13098,"online",28,14,144,"yes","good","yes",151,13.1977110652562,2018-03-28,2018-03-31,2018-04-04,63,"RFID",3.33071946845851,376
"yes",12014,"debit",48,80,145,"yes","good","yes",106,7.25322570701376,2018-01-24,2018-01-25,2018-01-30,26,"GPRS",2.53697628694881,371
"yes",6361,"debit",59,79,146,"yes","bad","yes",69,10.7513604677793,2018-07-09,2018-07-10,2018-07-17,49,"GPRS",3.43752198712847,389
"yes",6031,"debit",78,11,147,"yes","good","yes",130,10.0175499628856,2018-01-09,2018-01-11,2018-01-17,99,"GPRS",2.23408059667416,394
"yes",3259,"online",80,51,148,"yes","good","yes",177,10.1645065782144,2018-06-16,2018-06-19,2018-06-22,19,"RFID",3.1937776146089,371
"yes",7151,"debit",11,90,149,"yes","good","no",198,6.63300065138907,2018-02-09,2018-02-12,2018-02-17,6,"GPRS",2.38410196346178,374
"yes",873,"cash",80,15,150,"yes","bad","yes",14,11.5627067517608,2018-02-12,2018-02-14,2018-02-19,46,"GPRS",2.13251488008754,377
"yes",11649,"debit",94,71,151,"no","bad","yes",26,11.9863437868431,2018-05-15,2018-05-19,2018-05-25,38,"GPRS",2.02859296559581,388
"yes",7062,"cash",75,86,152,"no","good","no",69,10.8149111532783,2018-10-15,2018-10-18,2018-10-25,49,"GPRS",3.31335899282523,406
"yes",14325,"debit",77,91,153,"yes","good","no",3,10.6566675358304,2018-08-17,2018-08-19,2018-08-25,8,"GPRS",2.44234614317126,390
"yes",2560,"cash",91,33,154,"yes","good","yes",194,11.940222034483,2018-10-26,2018-10-31,2018-11-04,80,"RFID",1.97572803120834,397
"yes",6098,"cash",43,13,155,"yes","good","yes",68,8.38211796036029,2018-06-14,2018-06-17,2018-06-24,6,"GPRS",3.73529931731577,409
"yes",1279,"credit",87,22,156,"yes","good","yes",176,13.2819236276398,2018-04-20,2018-04-23,2018-04-26,42,"GPRS",2.05905944259825,389
"yes",6312,"debit",95,29,157,"no","good","yes",23,11.1739451901672,2018-11-04,2018-11-05,2018-11-13,55,"GPRS",3.17662505229321,374
"yes",9437,"online",100,56,158,"yes","good","yes",42,14.6527650520098,2018-02-08,2018-02-12,2018-02-18,27,"GPRS",2.73241878795059,410
"yes",7198,"cash",29,11,159,"yes","good","yes",104,10.0015834367666,2018-07-14,2018-07-18,2018-07-21,13,"GPRS",3.61272745004836,374
"yes",2543,"online",55,89,160,"yes","good","yes",88,14.85262641714,2018-10-15,2018-10-16,2018-10-22,51,"RFID",1.87733104709366,375
"yes",7864,"debit",41,5,161,"yes","bad","no",38,7.45345862398089,2018-02-24,2018-02-27,2018-03-03,71,"GPRS",3.48702702227338,391
"yes",1137,"cash",31,10,162,"yes","good","yes",25,10.4792012742582,2018-02-20,2018-02-25,2018-03-02,61,"GPRS",2.80679345879893,376
"yes",12599,"debit",86,62,163,"yes","good","yes",97,9.44250294244461,2018-05-25,2018-05-27,2018-06-04,82,"RFID",3.02843512245667,389
"yes",7520,"credit",33,78,164,"yes","good","no",100,10.1831467321226,2018-03-19,2018-03-23,2018-03-28,94,"RFID",0.494460439553733,391
"yes",5189,"online",99,27,165,"yes","good","yes",110,10.146644651068,2018-07-28,2018-07-30,2018-08-03,71,"GPRS",3.43386723162112,391
"yes",11884,"debit",41,25,166,"yes","good","yes",101,5.39377261683497,2018-06-09,2018-06-13,2018-06-19,85,"RFID",2.52596811266698,409
"yes",3431,"debit",14,12,167,"yes","bad","yes",161,7.38405353253875,2018-06-06,2018-06-09,2018-06-14,32,"RFID",2.95601068968593,371
"no",13652,"online",24,68,168,"yes","good","no",25,6.86339337239421,2018-05-22,2018-05-26,2018-05-29,66,"RFID",1.69795784902254,382
"yes",4575,"online",33,29,169,"yes","bad","yes",92,12.9056626570603,2018-02-26,2018-03-02,2018-03-08,62,"RFID",2.23984340916851,397
"yes",5908,"online",27,74,170,"no","good","no",109,8.79370876019068,2018-01-28,2018-02-02,2018-02-06,35,"GPRS",3.21170688266459,387
"yes",6801,"cash",29,59,171,"yes","good","yes",49,9.77529489927916,2018-11-03,2018-11-05,2018-11-09,100,"GPRS",2.42759726004491,400
"yes",8874,"cash",31,100,172,"yes","good","yes",16,9.94693137438565,2018-06-22,2018-06-25,2018-06-28,91,"GPRS",3.16861517410225,407
"yes",9730,"credit",36,85,173,"yes","good","yes",119,9.93658635714386,2018-05-02,2018-05-06,2018-05-11,28,"GPRS",3.44347486459757,382
"yes",3767,"online",13,87,174,"yes","good","yes",152,10.895840967897,2018-04-17,2018-04-19,2018-04-23,62,"RFID",1.9406173926815,380
"yes",14092,"cash",68,84,175,"yes","good","yes",93,7.57814567436611,2018-09-20,2018-09-24,2018-09-28,1,"GPRS",3.29651483406912,409
"yes",3401,"cash",71,51,176,"yes","good","yes",40,9.0891334661468,2018-01-28,2018-01-31,2018-02-06,100,"GPRS",3.38760371042407,408
"yes",10498,"debit",61,91,177,"no","good","yes",109,10.6579608463695,2018-04-21,2018-04-22,2018-04-29,95,"GPRS",2.17703885136463,408
"yes",4415,"cash",81,24,178,"yes","good","no",122,9.58635529228973,2018-11-18,2018-11-21,2018-11-28,71,"GPRS",3.43794092485057,406
"yes",8511,"online",18,35,179,"no","good","no",13,11.7452469993617,2018-03-23,2018-03-24,2018-03-31,29,"GPRS",2.48559646820109,398
"yes",7734,"credit",30,43,180,"yes","good","yes",52,8.09623753631455,2018-02-15,2018-02-18,2018-02-24,6,"GPRS",2.45367311472362,385
"yes",5932,"debit",34,34,181,"yes","good","no",134,14.5036474887178,2018-10-18,2018-10-21,2018-10-28,50,"RFID",3.56497783752054,394
"yes",7866,"cash",12,26,182,"yes","good","no",90,8.34488495229044,2018-11-21,2018-11-23,2018-11-29,85,"RFID",3.48300003382721,383
"yes",5932,"cash",86,2,183,"yes","good","yes",159,9.67656083585073,2018-05-18,2018-05-22,2018-05-27,72,"GPRS",2.69520955863407,397
"yes",4731,"online",65,65,184,"yes","bad","no",148,10.209496438492,2018-04-30,2018-05-03,2018-05-08,9,"GPRS",3.0966404289433,407
"yes",5873,"online",41,64,185,"no","good","yes",190,14.2386033480854,2018-01-02,2018-01-06,2018-01-08,1,"GPRS",3.66796575547156,397
"no",8794,"debit",57,65,186,"no","good","no",14,12.6664984077048,2018-05-21,2018-05-25,2018-05-30,6,"GPRS",3.13670688417243,388
"yes",9865,"debit",57,12,187,"yes","good","no",0,11.3075843430091,2018-11-30,2018-12-01,2018-12-06,0,"GPRS",3.5783502485072,370
"yes",6473,"debit",73,10,188,"yes","good","no",156,11.4286597636781,2018-02-03,2018-02-05,2018-02-11,7,"GPRS",2.95468776944629,383
"no",12972,"credit",32,25,189,"yes","good","no",113,8.78717951338228,2018-07-26,2018-07-27,2018-08-05,65,"GPRS",4.11491358586533,408
"yes",10540,"debit",59,14,190,"yes","good","no",129,11.3488529919765,2018-11-25,2018-11-30,2018-12-02,28,"GPRS",2.14401102536273,379
"yes",9752,"online",24,66,191,"yes","good","yes",27,11.6907798214092,2018-02-23,2018-02-28,2018-03-05,84,"GPRS",2.91462767364666,379
"yes",2567,"debit",79,52,192,"yes","good","no",36,12.1600358557122,2018-01-09,2018-01-11,2018-01-16,89,"RFID",2.56162494176186,401
"yes",11506,"online",80,76,193,"yes","good","no",118,7.16129498064994,2018-04-16,2018-04-19,2018-04-25,70,"GPRS",3.22016935606752,396
"yes",4263,"online",56,85,194,"yes","good","yes",9,7.96085635966267,2018-02-07,2018-02-11,2018-02-13,11,"RFID",2.69984121453413,379
"yes",7242,"cash",71,2,195,"yes","good","yes",0,16.5630056881893,2018-07-25,2018-07-30,2018-08-01,48,"RFID",2.83884480541423,409
"yes",3605,"debit",44,22,196,"yes","good","yes",195,9.89049370651854,2018-05-02,2018-05-07,2018-05-12,70,"GPRS",3.01155339058082,390
"no",8571,"online",15,86,24,"yes","good","no",39,10.421007400196,2018-09-29,2018-10-01,2018-10-06,15,"RFID",2.25424177761911,387
"yes",9361,"online",24,40,25,"yes","good","no",148,9.60165487275114,2018-03-09,2018-03-14,2018-03-18,35,"RFID",3.34855552969493,403
"yes",1670,"online",11,33,26,"yes","good","no",55,8.03155154460576,2018-11-13,2018-11-18,2018-11-20,90,"GPRS",3.49911751544799,404
"yes",13944,"debit",77,43,27,"yes","good","yes",174,11.1939571907953,2018-09-24,2018-09-26,2018-10-01,40,"RFID",3.09448137277171,399
"yes",10640,"online",20,8,28,"yes","good","yes",28,11.2475431134326,2018-01-27,2018-02-01,2018-02-02,83,"GPRS",1.80661188102181,376
"yes",13278,"debit",21,49,29,"yes","good","no",167,8.14644260904422,2018-05-24,2018-05-25,2018-06-03,9,"GPRS",2.57799704386399,381
"yes",8766,"cash",97,19,30,"yes","good","no",113,7.19375674343098,2018-02-21,2018-02-26,2018-02-28,47,"GPRS",2.69110822200289,390
"yes",8062,"debit",40,57,31,"no","good","yes",156,10.3686341623731,2018-06-25,2018-06-27,2018-07-02,45,"GPRS",2.61649348691149,403
"yes",6008,"cash",94,82,32,"yes","good","yes",75,12.3242373298815,2018-11-04,2018-11-09,2018-11-10,14,"RFID",2.36643493636501,406
"yes",6398,"debit",17,32,33,"yes","good","yes",106,13.5076490343884,2018-07-18,2018-07-21,2018-07-28,93,"RFID",3.39353658752262,385
"yes",6590,"cash",52,3,34,"no","good","yes",5,11.1553177186577,2018-08-27,2018-08-30,2018-09-02,73,"GPRS",3.80606923778847,399
"yes",3030,"online",62,88,35,"yes","good","yes",4,4.84426236118516,2018-03-22,2018-03-24,2018-03-30,13,"GPRS",3.01448139369522,385
"yes",9522,"online",94,77,36,"yes","good","yes",66,13.1034287274975,2018-06-25,2018-06-30,2018-07-04,72,"GPRS",2.05538769638241,400
